"County","State","fips","state_num"
"Abbeville County","SC",45001,45
"Acadia Parish","LA",22001,22
"Accomack County","VA",51001,51
"Ada County","ID",16001,16
"Adair County","KY",21001,21
"Adair County","OK",40001,40
"Adams County","ID",16003,16
"Adams County","IL",17001,17
"Adams County","IN",18001,18
"Adams County","ND",38001,38
"Adams County","NE",31001,31
"Adams County","OH",39001,39
"Adams County","PA",42001,42
"Adams County","WA",53001,53
"Aiken County","SC",45003,45
"Aitkin County","MN",27001,27
"Alachua County","FL",12001,12
"Alamance County","NC",37001,37
"Albany County","NY",36001,36
"Albany County","WY",56001,56
"Albemarle County","VA",51003,51
"Alcona County","MI",26001,26
"Alexander County","IL",17003,17
"Alexander County","NC",37003,37
"Alexandria city","VA",51510,51
"Alfalfa County","OK",40003,40
"Alger County","MI",26003,26
"Allegan County","MI",26005,26
"Allegany County","MD",24001,24
"Allegany County","NY",36003,36
"Alleghany County","NC",37005,37
"Alleghany County","VA",51005,51
"Allegheny County","PA",42003,42
"Allen County","IN",18003,18
"Allen County","KS",20001,20
"Allen County","KY",21003,21
"Allen County","OH",39003,39
"Allen Parish","LA",22003,22
"Allendale County","SC",45005,45
"Alpena County","MI",26007,26
"Amelia County","VA",51007,51
"Amherst County","VA",51009,51
"Anderson County","KS",20003,20
"Anderson County","KY",21005,21
"Anderson County","SC",45007,45
"Anderson County","TN",47001,47
"Anderson County","TX",48001,48
"Andrews County","TX",48003,48
"Angelina County","TX",48005,48
"Anne Arundel County","MD",24003,24
"Anoka County","MN",27003,27
"Anson County","NC",37007,37
"Antelope County","NE",31003,31
"Antrim County","MI",26009,26
"Appomattox County","VA",51011,51
"Aransas County","TX",48007,48
"Archer County","TX",48009,48
"Arenac County","MI",26011,26
"Arlington County","VA",51013,51
"Armstrong County","PA",42005,42
"Armstrong County","TX",48011,48
"Arthur County","NE",31005,31
"Ascension Parish","LA",22005,22
"Ashe County","NC",37009,37
"Ashland County","OH",39005,39
"Ashtabula County","OH",39007,39
"Asotin County","WA",53003,53
"Assumption Parish","LA",22007,22
"Atascosa County","TX",48013,48
"Atchison County","KS",20005,20
"Athens County","OH",39009,39
"Atlantic County","NJ",34001,34
"Atoka County","OK",40005,40
"Auglaize County","OH",39011,39
"Augusta County","VA",51015,51
"Aurora County","SD",46003,46
"Austin County","TX",48015,48
"Avery County","NC",37011,37
"Avoyelles Parish","LA",22009,22
"Bailey County","TX",48017,48
"Baker County","FL",12003,12
"Baker County","OR",41001,41
"Ballard County","KY",21007,21
"Baltimore city","MD",24510,24
"Baltimore County","MD",24005,24
"Bamberg County","SC",45009,45
"Bandera County","TX",48019,48
"Banner County","NE",31007,31
"Bannock County","ID",16005,16
"Baraga County","MI",26013,26
"Barber County","KS",20007,20
"Barbour County","WV",54001,54
"Barnes County","ND",38003,38
"Barnstable County","MA",25001,25
"Barnwell County","SC",45011,45
"Barren County","KY",21009,21
"Barry County","MI",26015,26
"Bartholomew County","IN",18005,18
"Barton County","KS",20009,20
"Bastrop County","TX",48021,48
"Bath County","KY",21011,21
"Bath County","VA",51017,51
"Bay County","FL",12005,12
"Bay County","MI",26017,26
"Baylor County","TX",48023,48
"Beadle County","SD",46005,46
"Bear Lake County","ID",16007,16
"Beaufort County","NC",37013,37
"Beaufort County","SC",45013,45
"Beauregard Parish","LA",22011,22
"Beaver County","OK",40007,40
"Beaver County","PA",42007,42
"Beaver County","UT",49001,49
"Beaverhead County","MT",30001,30
"Becker County","MN",27005,27
"Beckham County","OK",40009,40
"Bedford County","PA",42009,42
"Bedford County","TN",47003,47
"Bedford County","VA",51019,51
"Bee County","TX",48025,48
"Bell County","KY",21013,21
"Bell County","TX",48027,48
"Belmont County","OH",39013,39
"Beltrami County","MN",27007,27
"Benewah County","ID",16009,16
"Bennett County","SD",46007,46
"Benson County","ND",38005,38
"Benton County","IN",18007,18
"Benton County","MN",27009,27
"Benton County","OR",41003,41
"Benton County","TN",47005,47
"Benton County","WA",53005,53
"Benzie County","MI",26019,26
"Bergen County","NJ",34003,34
"Berkeley County","SC",45015,45
"Berkeley County","WV",54003,54
"Berks County","PA",42011,42
"Berkshire County","MA",25003,25
"Bernalillo County","NM",35001,35
"Berrien County","MI",26021,26
"Bertie County","NC",37015,37
"Bexar County","TX",48029,48
"Bienville Parish","LA",22013,22
"Big Horn County","MT",30003,30
"Big Horn County","WY",56003,56
"Big Stone County","MN",27011,27
"Billings County","ND",38007,38
"Bingham County","ID",16011,16
"Blackford County","IN",18009,18
"Bladen County","NC",37017,37
"Blaine County","ID",16013,16
"Blaine County","MT",30005,30
"Blaine County","NE",31009,31
"Blaine County","OK",40011,40
"Blair County","PA",42013,42
"Blanco County","TX",48031,48
"Bland County","VA",51021,51
"Bledsoe County","TN",47007,47
"Blount County","TN",47009,47
"Blue Earth County","MN",27013,27
"Boise County","ID",16015,16
"Bon Homme County","SD",46009,46
"Bond County","IL",17005,17
"Bonner County","ID",16017,16
"Bonneville County","ID",16019,16
"Boone County","IL",17007,17
"Boone County","IN",18011,18
"Boone County","KY",21015,21
"Boone County","NE",31011,31
"Boone County","WV",54005,54
"Borden County","TX",48033,48
"Bosque County","TX",48035,48
"Bossier Parish","LA",22015,22
"Botetourt County","VA",51023,51
"Bottineau County","ND",38009,38
"Boundary County","ID",16021,16
"Bourbon County","KS",20011,20
"Bourbon County","KY",21017,21
"Bowie County","TX",48037,48
"Bowman County","ND",38011,38
"Box Butte County","NE",31013,31
"Box Elder County","UT",49003,49
"Boyd County","KY",21019,21
"Boyd County","NE",31015,31
"Boyle County","KY",21021,21
"Bracken County","KY",21023,21
"Bradford County","FL",12007,12
"Bradford County","PA",42015,42
"Bradley County","TN",47011,47
"Branch County","MI",26023,26
"Braxton County","WV",54007,54
"Brazoria County","TX",48039,48
"Brazos County","TX",48041,48
"Breathitt County","KY",21025,21
"Breckinridge County","KY",21027,21
"Brevard County","FL",12009,12
"Brewster County","TX",48043,48
"Briscoe County","TX",48045,48
"Bristol city","VA",51520,51
"Bristol County","MA",25005,25
"Bristol County","RI",44001,44
"Broadwater County","MT",30007,30
"Bronx County","NY",36005,36
"Brooke County","WV",54009,54
"Brookings County","SD",46011,46
"Brooks County","TX",48047,48
"Broome County","NY",36007,36
"Broward County","FL",12011,12
"Brown County","IL",17009,17
"Brown County","IN",18013,18
"Brown County","KS",20013,20
"Brown County","MN",27015,27
"Brown County","NE",31017,31
"Brown County","OH",39015,39
"Brown County","SD",46013,46
"Brown County","TX",48049,48
"Brule County","SD",46015,46
"Brunswick County","NC",37019,37
"Brunswick County","VA",51025,51
"Bryan County","OK",40013,40
"Buchanan County","VA",51027,51
"Buckingham County","VA",51029,51
"Bucks County","PA",42017,42
"Buena Vista city","VA",51530,51
"Buffalo County","NE",31019,31
"Buffalo County","SD",46017,46
"Bullitt County","KY",21029,21
"Buncombe County","NC",37021,37
"Bureau County","IL",17011,17
"Burke County","NC",37023,37
"Burke County","ND",38013,38
"Burleigh County","ND",38015,38
"Burleson County","TX",48051,48
"Burlington County","NJ",34005,34
"Burnet County","TX",48053,48
"Burt County","NE",31021,31
"Butler County","KS",20015,20
"Butler County","KY",21031,21
"Butler County","NE",31023,31
"Butler County","OH",39017,39
"Butler County","PA",42019,42
"Butte County","ID",16023,16
"Butte County","SD",46019,46
"Cabarrus County","NC",37025,37
"Cabell County","WV",54011,54
"Cache County","UT",49005,49
"Caddo County","OK",40015,40
"Caddo Parish","LA",22017,22
"Calcasieu Parish","LA",22019,22
"Caldwell County","KY",21033,21
"Caldwell County","NC",37027,37
"Caldwell County","TX",48055,48
"Caldwell Parish","LA",22021,22
"Calhoun County","FL",12013,12
"Calhoun County","IL",17013,17
"Calhoun County","MI",26025,26
"Calhoun County","SC",45017,45
"Calhoun County","TX",48057,48
"Calhoun County","WV",54013,54
"Callahan County","TX",48059,48
"Calloway County","KY",21035,21
"Calvert County","MD",24009,24
"Camas County","ID",16025,16
"Cambria County","PA",42021,42
